event_id,user_id,product_id,product_name,category,price,event_type,timestamp
228f62fa-3e9e-41df-8633-c8bfaad58eca,user_0bcb14b2,prod_5fa17dc5,Running Shoes,Clothing,67.8,add_to_cart,2026-01-30 07:56:30
f56712be-94b9-46db-98f3-9cef242db0e5,user_769f7af6,prod_3d756900,Baseball Cap,Clothing,23.76,add_to_cart,2026-01-30 07:56:30
b6cced6e-2b71-475c-9925-775a5c049f1d,user_92b11349,prod_c89f05ff,Tennis Racket,Sports,102.37,view,2026-01-30 07:56:30
22f74eab-fe46-4ecb-b6f9-d9278e14ca08,user_257d2452,prod_2110b4b2,Basketball,Sports,33.04,view,2026-01-30 07:56:30
fcdfbb46-1ab4-4622-8b4f-23b9714c1dee,user_e8e0fc1a,prod_84932093,Self-Help Guide,Books,16.53,view,2026-01-30 07:56:30
9538d6f2-c660-4f88-9b4c-2549d78319a6,user_295f391b,prod_3db2852b,Self-Help Guide,Books,19.98,view,2026-01-30 07:56:30
eff87617-391b-4c19-bfb0-68cd3ec25f34,user_aca68484,prod_8e823f68,Plant Pot Set,Home & Garden,23.34,view,2026-01-30 07:56:30
2d31e34b-dc7e-456c-9766-86ffe86e0d19,user_d28a07ab,prod_4d065c22,Webcam HD,Electronics,93.51,view,2026-01-30 07:56:30
b3ef39a0-8ea9-464d-9887-a34c85917645,user_5fddd0db,prod_c09b6697,Mystery Novel,Books,18.45,add_to_cart,2026-01-30 07:56:30
e0972ce6-6faf-45b5-ab50-27c79622e065,user_34f5ed0f,prod_e363bf35,Coffee Maker,Home & Garden,104.32,view,2026-01-30 07:56:30
